index,geometry,grid_id,city,global_grid_id,node_count,edge_count,street_length,avg_degree,avg_betweenness,pop_popsum,pop_men,pop_women,pop_elderly,pop_youth,pop_children,building_footprint,building_count,poi_civic,poi_commercial,poi_entertainment,poi_food,poi_healthcare,poi_institutional,poi_recreational,poi_social,green_view,sky_view,building_view,road_view,has_data
0,"POLYGON ((4.878121487354237 52.36207553905678, 4.878121487354237 52.36224011086099, 4.877851992769001 52.36224011086099, 4.877851992769001 52.36207553905678, 4.878121487354237 52.36207553905678))",0,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,"POLYGON ((4.878121487354237 52.36224011086099, 4.878121487354237 52.362404682052215, 4.877851992769001 52.362404682052215, 4.877851992769001 52.36224011086099, 4.878121487354237 52.36224011086099))",1,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2,"POLYGON ((4.878121487354237 52.362404682052215, 4.878121487354237 52.362569252630465, 4.877851992769001 52.362569252630465, 4.877851992769001 52.362404682052215, 4.878121487354237 52.362404682052215))",2,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,6,719.612,3.0,0.002,359.0,173.0,178.0,57.0,45.0,21.0,0.485,95.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.12009676976539878,0.13405649278886944,0.3533316135084428,0.12918597183743055,True
3,"POLYGON ((4.878121487354237 52.362569252630465, 4.878121487354237 52.36273382259572, 4.877851992769001 52.36273382259572, 4.877851992769001 52.362569252630465, 4.878121487354237 52.362569252630465))",3,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
4,"POLYGON ((4.878121487354237 52.36273382259572, 4.878121487354237 52.36289839194802, 4.877851992769001 52.36289839194802, 4.877851992769001 52.36273382259572, 4.878121487354237 52.36273382259572))",4,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
5,"POLYGON ((4.878121487354237 52.36289839194802, 4.878121487354237 52.36306296068734, 4.877851992769001 52.36306296068734, 4.877851992769001 52.36289839194802, 4.878121487354237 52.36289839194802))",5,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
6,"POLYGON ((4.878121487354237 52.36306296068734, 4.878121487354237 52.36322752881369, 4.877851992769001 52.36322752881369, 4.877851992769001 52.36306296068734, 4.878121487354237 52.36306296068734))",6,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
7,"POLYGON ((4.878121487354237 52.36322752881369, 4.878121487354237 52.363392096327054, 4.877851992769001 52.363392096327054, 4.877851992769001 52.36322752881369, 4.878121487354237 52.36322752881369))",7,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
8,"POLYGON ((4.878121487354237 52.363392096327054, 4.878121487354237 52.363556663227456, 4.877851992769001 52.363556663227456, 4.877851992769001 52.363392096327054, 4.878121487354237 52.363392096327054))",8,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,6,1345.932,,,63.333333333333336,23.0,23.833333333333332,7.333333333333333,5.666666666666667,2.5,190.54100000000003,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315740546821947,0.18622201355968274,0.31280894308943086,0.11052286042958896,True
9,"POLYGON ((4.878121487354237 52.363556663227456, 4.878121487354237 52.36372122951488, 4.877851992769001 52.36372122951488, 4.877851992769001 52.363556663227456, 4.878121487354237 52.363556663227456))",9,Amsterdam,"amsterdam_0          0
1          1
2          2
3          3
4          4
        ... 
6719    6719
6720    6720
6721    6721
6722    6722
6723    6723
Name: grid_id, Length: 6724, dtype: int64",1,4,1006.1279999999999,,,44.5,20.0,20.5,6.25,5.0,2.25,153.20675,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315740546821947,0.18622201355968276,0.31280894308943086,0.11052286042958895,True
