feature,gain,weight,cover
bld_courtyard_fraction_scaled,0.18143394703280888,373.0,10954.4326171875
urb_meshedness_scaled,0.171536857017361,114.0,15860.294921875
gee_water_fraction_scaled,0.15516334680086824,316.0,7952.841796875
urb_population_children_density_scaled,0.10115987023381381,36.0,2193.110107421875
urb_network_degree_scaled,0.0400854443335864,59.0,14783.8798828125
urb_node_count_scaled,0.03909126547891696,193.0,13332.681640625
gee_land_cover_scaled,0.028765301562799647,176.0,16371.4755859375
gee_albedo_scaled,0.027507983949788557,650.0,9236.5146484375
gee_impervious_fraction_300m_scaled,0.025906198935942884,734.0,7175.95703125
urb_street_length_scaled,0.018447596821660063,71.0,8833.5673828125
bld_age_1950_1990_share_scaled,0.018318668367821537,100.0,4858.947265625
urb_edge_count_scaled,0.01711423112793565,36.0,11243.95703125
gee_ndbi_scaled,0.016509934825398434,553.0,8052.6708984375
gee_slope_scaled,0.0147495615364615,415.0,4266.67919921875
urb_building_building_count_scaled,0.011815224115316342,38.0,3516.332763671875
derived_urban_heat_trap_index_scaled,0.0073741144146940015,396.0,2697.22216796875
vox_landcover_vegetation_ratio_scaled,0.00715780600336247,135.0,9354.564453125
ss_water_mean_scaled,0.00715042713682884,102.0,7755.14697265625
gee_impervious_fraction_neighbor_std_150m_scaled,0.006735084595164377,730.0,4788.84912109375
gee_impervious_fraction_neighbor_mean_300m_scaled,0.005944082991609065,903.0,5970.97900390625
gee_vegetation_fraction_scaled,0.0055944600508383195,37.0,9643.8310546875
gee_distance_to_water_scaled,0.005483814430498404,1296.0,7182.166015625
gee_dense_vegetation_distance_scaled,0.004340142317627583,149.0,5166.86083984375
urb_network_betweenness_scaled,0.004286307847392946,49.0,6923.98681640625
x_scaled,0.0030012311962593365,1203.0,4993.47509765625
gee_vegetation_fraction_300m_scaled,0.0029152338901329605,871.0,5110.02392578125
gee_tree_canopy_fraction_300m_scaled,0.0028642275557745536,600.0,5235.0185546875
bld_height_std_weighted_scaled,0.0028612486203551907,59.0,5080.4189453125
gee_tree_canopy_distance_scaled,0.0027234552155964366,170.0,4542.2998046875
gee_distance_to_coast_scaled,0.002695288728708337,655.0,13492.775390625
vox_solar_direct_scaled,0.0025825129037110495,50.0,7753.2431640625
gee_builtup_fraction_remote_scaled,0.0025766858546982037,172.0,3279.121337890625
urb_building_footprint_proportion_scaled,0.002526460584640125,52.0,3851.26513671875
gee_modis_et_mean_scaled,0.0025234861603182063,967.0,5085.20947265625
gee_tree_canopy_cover_neighbor_mean_300m_scaled,0.002458143880503566,704.0,4881.54541015625
vox_canyon_heating_scaled,0.0022448907710267024,63.0,6297.7021484375
urb_has_network_data_scaled,0.0021700685810438236,50.0,21576.689453125
bld_height_relative_scaled,0.0019519710362438218,38.0,3574.428466796875
bld_has_buildings_scaled,0.001837872170810417,73.0,3439.871337890625
