feature,gain,weight,cover
gee_water_fraction_scaled,0.33398514431370485,317.0,6166.42529296875
gee_ndbi_scaled,0.06283648653062145,639.0,13252.021484375
gee_albedo_scaled,0.05774540312292731,589.0,9054.0029296875
gee_impervious_fraction_300m_scaled,0.04662367096642734,749.0,10514.28515625
urb_population_children_density_scaled,0.03648956359845953,90.0,3626.384033203125
derived_urban_heat_trap_index_scaled,0.030614622576784642,533.0,3909.986328125
vox_canyon_heating_scaled,0.027887758455328166,75.0,6978.69287109375
urb_street_length_scaled,0.026371705376379357,79.0,9787.341796875
gee_builtup_fraction_remote_scaled,0.02419493938854071,197.0,4266.84423828125
urb_building_footprint_proportion_scaled,0.018611635951093268,57.0,2791.565185546875
ss_water_mean_scaled,0.017666562989169684,171.0,8058.5224609375
bld_has_buildings_scaled,0.016549851257242853,43.0,4543.10205078125
gee_emissivity_std_scaled,0.014996993474476947,310.0,8245.43359375
gee_distance_to_water_scaled,0.014180423034129187,1423.0,7052.6787109375
vox_landcover_impervious_ratio_scaled,0.01415092637720203,176.0,5015.23876953125
gee_impervious_fraction_neighbor_mean_300m_scaled,0.013509021309093474,852.0,5581.85205078125
urb_network_betweenness_scaled,0.013295054494254069,50.0,8069.685546875
gee_dense_vegetation_distance_scaled,0.011851681481281306,147.0,6509.26220703125
urb_meshedness_scaled,0.009850948523704162,37.0,2367.70849609375
vox_landcover_vegetation_ratio_scaled,0.009508755677991212,78.0,11348.9326171875
x_scaled,0.009497959594549474,1296.0,4449.09716796875
gee_impervious_fraction_neighbor_std_150m_scaled,0.008968138678722688,774.0,5257.974609375
bld_courtyard_fraction_scaled,0.008531120618745665,46.0,1585.098388671875
gee_vegetation_fraction_300m_scaled,0.008131276225094798,742.0,6381.66650390625
gee_distance_to_coast_scaled,0.007714680101286431,630.0,9890.767578125
vox_solar_direct_scaled,0.007458019053256015,59.0,4098.447265625
urb_canyon_ratio_scaled,0.007060550722680399,45.0,2270.12939453125
gee_tree_canopy_fraction_300m_scaled,0.006267466734178033,586.0,4982.6875
gee_tree_canopy_cover_neighbor_mean_300m_scaled,0.006217647548274508,788.0,3832.023681640625
derived_ventilation_proxy_neighbor_mean_150m_scaled,0.00509597470391385,903.0,5978.87548828125
gee_era5_relative_humidity_mean_scaled,0.00500327033053831,1238.0,4544.36376953125
gee_land_cover_scaled,0.004731880835482772,99.0,6372.5126953125
