Feature,Mean |SHAP|
bld_courtyard_fraction_scaled,1.7178792
urb_meshedness_scaled,0.9408849
gee_water_fraction_scaled,0.61234844
gee_impervious_fraction_300m_scaled,0.4251944
gee_ndbi_scaled,0.22691335
urb_node_count_scaled,0.2226902
gee_distance_to_water_scaled,0.20731398
gee_albedo_scaled,0.14705648
gee_impervious_fraction_neighbor_mean_300m_scaled,0.13746119
gee_vegetation_fraction_300m_scaled,0.13300021
vox_landcover_vegetation_ratio_scaled,0.12662913
gee_era5_wind_speed_mean_scaled,0.09615977
derived_ventilation_proxy_neighbor_mean_150m_scaled,0.07275978
gee_era5_relative_humidity_mean_scaled,0.07017696
gee_relative_elevation_scaled,0.06796515
gee_modis_et_mean_scaled,0.067001365
gee_modis_evaporative_fraction_scaled,0.06348735
urb_network_degree_scaled,0.061237037
urb_street_length_scaled,0.054872755
bld_age_1950_1990_share_scaled,0.05370182
urb_population_children_density_scaled,0.052559495
gee_impervious_fraction_neighbor_std_150m_scaled,0.04813104
gee_distance_to_coast_scaled,0.046594955
gee_land_cover_scaled,0.045547627
derived_urban_heat_trap_index_scaled,0.04231857
gee_vegetation_fraction_90m_scaled,0.042193007
gee_tree_canopy_cover_neighbor_mean_300m_scaled,0.04153329
gee_tree_canopy_fraction_300m_scaled,0.038707152
urb_building_building_count_scaled,0.035575613
ss_water_mean_scaled,0.034851685
gee_slope_scaled,0.033939674
gee_tree_canopy_fraction_150m_scaled,0.03028001
vox_solar_direct_scaled,0.025371047
derived_height_to_coverage_ratio_scaled,0.020588117
gee_dense_vegetation_distance_scaled,0.020451052
gee_mndwi_scaled,0.019915609
urb_network_betweenness_scaled,0.019774567
gee_evi_scaled,0.017842602
gee_distance_to_green_scaled,0.017814735
bld_height_p90_scaled,0.015947154
urb_edge_count_scaled,0.015524295
gee_tree_canopy_distance_scaled,0.015106957
bld_area_weighted_building_year_scaled,0.014991256
bld_has_buildings_scaled,0.014051057
gee_builtup_fraction_remote_scaled,0.013529784
bld_total_wall_surface_area_scaled,0.012931582
bld_aspect_ratio_weighted_scaled,0.01243482
vox_canyon_heating_scaled,0.012173767
vox_solar_winter_peak_scaled,0.012099226
gee_vegetation_fraction_scaled,0.010683723
vox_evapotranspiration_scaled,0.009961522
vox_shadow_cooling_scaled,0.009956422
gee_emissivity_std_scaled,0.009948868
vox_landcover_impervious_ratio_scaled,0.009892533
bld_height_std_weighted_scaled,0.009319272
bld_age_post1990_share_scaled,0.0092431735
bld_building_count_scaled,0.00910931
gee_canopy_height_mean_scaled,0.009090334
vox_solar_daily_summer_scaled,0.008496623
vox_canyon_aspect_ratio_scaled,0.0079673985
urb_building_footprint_proportion_scaled,0.007833902
urb_connectivity_beta_scaled,0.007649106
vox_building_height_mean_scaled,0.0072863745
bld_wall_to_plan_ratio_scaled,0.006876798
gee_paved_fraction_scaled,0.006449595
vox_built_up_ratio_scaled,0.006401876
urb_network_closeness_scaled,0.006354355
urb_has_network_data_scaled,0.0062882127
derived_canyon_sky_openness_scaled,0.00619135
bld_facade_orientation_entropy_scaled,0.0060913386
vox_gvi_scaled,0.0059447573
ss_vegetation_mean_scaled,0.0058532413
bld_height_p10_scaled,0.005850312
bld_height_relative_scaled,0.005808074
urb_canyon_ratio_scaled,0.005449821
gee_tree_canopy_fraction_90m_scaled,0.0054485425
bld_thermal_mass_index_scaled,0.005312322
bld_area_weighted_height_scaled,0.00497715
vox_solar_direct_ratio_scaled,0.00463378
vox_solar_seasonal_ratio_scaled,0.0043660537
bld_height_range_scaled,0.0041885343
vox_solar_scaled,0.004001597
derived_ventilation_proxy_scaled,0.0039402214
urb_population_popsum_density_scaled,0.0038173627
vox_tree_canopy_ratio_scaled,0.0037964128
ss_sky_mean_scaled,0.0037416688
ss_road_mean_scaled,0.0035925284
bld_total_footprint_area_scaled,0.0035238313
bld_frontal_area_density_ew_scaled,0.0034583323
ss_building_mean_scaled,0.0032062086
vox_svf_scaled,0.003176236
ss_beautiful_mean_scaled,0.0030485236
vox_canopy_volume_sum_scaled,0.0028510685
vox_green_cooling_potential_scaled,0.00266165
urb_street_orientation_index_scaled,0.0025090093
bld_age_pre1950_share_scaled,0.0023956823
vox_solar_contrast_scaled,0.002381381
vox_canopy_height_mean_scaled,0.0022725076
vox_urban_heat_island_scaled,0.0022241063
bld_canyon_width_mean_scaled,0.0019912892
ss_image_count_scaled,0.0017323323
ss_wealthy_mean_scaled,0.0016549253
ss_safe_mean_scaled,0.0016128392
bld_frontal_area_density_ns_scaled,0.0014479903
ss_sidewalk_mean_scaled,0.0013091757
vox_building_volume_sum_scaled,0.001207095
bld_far_scaled,0.0011113752
bld_compactness_weighted_scaled,0.0010836703
ss_depressing_mean_scaled,0.0010474715
urb_streetview_road_view_scaled,0.0007305268
ss_boring_mean_scaled,0.0006654255
urb_streetview_visual_complexity_mean_scaled,0.00048725033
urb_streetview_sky_view_scaled,0.00028898742
urb_streetview_green_view_scaled,0.0002779236
urb_streetview_building_view_scaled,0.00018343121
vox_grid_resolution_m_scaled,0.0
