feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115
-0.0208083,0.049323376,0.52233547,0.41327763,1.1130542,1.7557517,0.31615335,1.1318916,0.9510774,3.0370345,-0.030612951,0.22888559,-0.00751667,-1.0491136,1.3963118,0.18852532,-0.09915391,-0.40306363,1.4165342,-0.3757681,-0.3172174,1.3236324,-0.74942243,0.4799741,2.8599925,0.9975945,1.1051772,1.2708683,1.0735878,0.5519162,-0.10037545,1.2985574,1.3792669,1.4172789,1.6261863,1.3881048,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.03153508,0.09297329,-0.39324632,-0.314661,-0.29836333,-0.48754528,0.0,-0.11932678,0.7842281,-0.62024724,-0.3012731,-0.35762325,0.042934496,-0.34551015,-0.35216215,0.63298875,-0.7724157,0.5617364,-0.04425624,-0.6737707,0.74370617,-0.44162935,-0.76616323,-0.87651664,-0.86510235,0.4682785,0.67447484,-0.43354982,0.7167987,-0.55968827,-1.9534762,-1.9343659,0.53110886,-2.8857317,1.6032428,-0.8707532,-0.88327014,-0.21873331,-0.13998081,0.7254962,0.40331507,0.71365654,0.5087205,-0.5076709,-0.42581183,-0.50074226,-0.15833469,-0.19418229,1.3942001,0.30914298,-0.30914298,0.0,-0.14302741,-0.1275485,0.63955116,-0.8215124,0.19510244,0.08448058,-0.5126041,0.35056156
0.77191126,-0.3793976,-0.35881522,-0.6028744,-0.7506569,-0.2792614,-0.5410356,-0.90527254,-0.43803412,-0.07934675,-0.03487146,1.122405,-0.2524948,-0.25543264,-0.30535173,-0.38291383,-0.09915391,0.48261133,-0.02491057,-0.34598342,-0.3172174,-0.7314108,0.47954777,0.4799741,0.18086918,0.95656407,-0.24274838,0.39190724,-0.27729607,1.3243647,-0.15570952,0.67931074,0.8165515,0.9569939,0.4762739,0.12334175,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.1672756,-1.2349055,0.58070725,0.18090571,0.4991321,-0.5263871,0.0,-0.45858094,-0.47997868,0.0938977,1.6533018,0.9604591,-0.06414224,0.57280463,1.0954958,-1.9516245,-0.099987,0.5617364,-0.04425624,0.36505115,0.5648007,-0.44162935,-0.38821205,-0.25529912,-0.61132956,0.53416944,0.67447484,0.55764514,0.008446756,-0.688186,0.43729687,0.43899146,-0.17926379,0.36177996,-0.016927473,0.84478754,-0.8853549,-0.21873331,-0.13998081,0.47302893,0.40331507,0.7030176,-0.35379153,-0.5076709,-0.73302263,-0.50074226,-0.22221552,-0.19418229,0.09174127,0.50028396,-0.50028396,0.0,-0.14928758,-0.12899476,0.38118935,-0.46083376,-0.48223215,0.5586544,-0.17377405,-0.45456284
0.3755515,1.2243854,0.65089715,1.154135,0.17707697,0.7777796,-0.5272279,-0.15798458,0.5883117,2.7826927,-0.04717778,0.02156228,-0.621971,0.017540086,-1.0019562,1.0624042,-0.09915391,0.4062278,1.373853,-0.3537389,-0.2604134,1.6309903,-0.936083,0.4799741,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.30983603,-0.31002587,0.3465876,0.8620989,0.6748466,-0.5272239,0.0,0.083087526,-0.112969905,-0.078342624,1.6752783,1.0684956,0.042934496,0.7128486,1.1951592,-0.6149276,-0.61700577,0.5617364,-0.04425624,-0.8694327,0.38733017,-0.44162935,-0.4163356,-0.278077,-0.58672696,0.61125916,0.67447484,0.7277995,-1.4173254,-0.7207952,-2.2188666,-2.2049465,-2.0532265,-2.8857317,1.6032428,-0.8707532,-1.101957,-0.21873331,-0.13998081,0.76232755,0.40331507,0.6548302,1.2137865,-0.5076709,-1.3474443,1.8526345,-0.7672969,-0.19418229,0.7240869,0.50028396,-0.50028396,0.0,-0.15632778,-1.0854275,0.044364344,-0.6770948,-0.40764135,0.804718,-0.56390446,-0.4747975
0.77191126,0.6673382,0.9228101,0.13758434,-0.64081603,-0.04954774,-0.61099666,-0.7056636,0.040965866,-0.13465308,-0.040407434,-0.6856749,-0.20001568,-0.2624625,-1.1975337,-0.31531194,-0.09915391,0.53922457,-0.5116315,-0.3757681,-0.3172174,-1.1006339,2.3262758,0.4799741,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.35728282,-0.9169609,0.27127758,0.87808233,0.585016,-0.47469017,0.0,-0.43565583,0.32739127,-0.41674045,-1.257813,-1.4533767,0.004247097,-1.4023758,-1.4492036,-0.044380136,-0.37270048,0.5617364,-0.04425624,-0.45763916,0.38733017,-0.44162935,0.3536192,0.43698275,0.5232684,-1.5511497,0.67447484,0.8906835,0.0712041,-0.6989147,0.40792432,0.40904447,-0.33707118,0.36177996,0.3865121,0.46290347,1.0265281,-0.21873331,-0.13998081,0.6360589,0.40331507,-1.3671522,0.034990482,-0.5076709,0.25005198,-0.50074226,0.070263214,-0.19418229,0.3261107,0.50028396,-0.50028396,0.0,-0.15698072,-0.65895313,-1.9413497,-0.55398893,0.32525182,-0.90343964,0.44309828,-0.36461088
-0.0208083,0.8579338,1.0818717,0.570351,-0.18555023,0.123041555,-0.2479959,-0.3638497,-0.12519558,-0.62807214,-0.04483907,-2.1263287,-0.22897317,-0.17622212,0.8789477,-0.15609086,-0.09915391,-0.9223601,0.9599289,0.38592747,-0.3172174,0.47886086,0.798241,0.4799741,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.6404902,-0.4931474,-0.60450333,-0.45319706,-1.0073792,-0.40036517,0.0,-0.928462,1.2385036,1.2543802,1.2839162,1.348647,-1.4658741,1.2556096,1.3674536,-0.5884264,0.006448603,0.5617364,-0.04425624,-1.2286417,0.38733017,-0.44162935,1.5765692,1.6571813,0.9152182,-0.9656296,0.67447484,0.31913403,-1.888408,0.7437675,-2.1678247,-2.1529064,-1.5561882,-2.784081,0.59883845,-0.7178076,-1.101957,-0.21873331,-0.13998081,0.7268942,0.40331507,-1.0601401,0.45441237,0.7563806,-1.3474443,-0.50074226,-0.7672969,-0.19418229,-0.6194129,0.50028396,-0.50028396,0.0,-0.15602475,-1.0720189,-0.7181561,-0.000942675,1.1546186,-1.0109845,0.8411183,0.26543006
-1.2098876,0.098578796,0.0029338032,-0.05638334,-0.14013365,-0.19514093,-0.12434955,-0.15163553,-0.18167935,-0.18807505,-0.03707118,0.107170835,-0.15385044,-0.07405634,-0.010311778,-0.15952104,-0.09915391,,,,,-0.21557544,-0.1676753,-2.0834458,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.05562838,0.17814364,-0.34616917,0.017358541,-1.2862433,-0.092067085,0.0,-0.54668367,-0.61065054,-0.4086144,-0.5298371,0.28630817,-0.32696697,0.6254225,0.166116,-0.08786081,-0.57738006,0.5617364,-0.04425624,0.24096632,-1.4206396,-0.44162935,-0.40806335,-0.52489334,-0.24881063,-0.12004595,0.67447484,-0.19873539,1.5865059,-0.5572451,0.5406072,0.5443222,0.82675827,0.36177996,-1.2783506,-0.7337501,-1.101957,-0.21873331,-0.13998081,0.50950694,0.40331507,0.6548302,-1.1737875,-0.4541094,-1.3474443,-0.50074226,-0.7672969,-0.19418229,-1.521809,-3.1313949,3.1313949,0.0,-0.15051433,1.8447963,-0.15277684,2.1373641,0.374262,-0.08147039,0.21751015,-0.08741263
0.77191126,-0.9254002,-0.5151247,-1.0236803,-1.0981627,-0.3051813,-0.77619225,-1.125101,-0.3273834,-0.3492751,-0.027705805,0.13198419,0.24653114,0.114720546,2.4111586,-0.9629356,-0.09915391,1.0092375,-1.048137,0.31886578,-0.3172174,-0.13654913,-0.34093413,0.4799741,0.18086918,0.7698867,-0.08113124,0.6190855,-0.37512484,1.5939296,-0.15570952,0.82530737,-0.16407739,0.8321262,1.4373552,0.44181004,-0.06842766,2.4111423,-2.352742,1.9815134,0.12852187,0.11415701,-0.031027863,-0.026661154,-1.2744156,-3.4514248,0.037208337,0.78242445,0.4442169,-1.2556076,0.4107074,3.597088,-0.042282887,4.5125384,-3.0954185,4.495704,-0.1711814,0.3138788,-0.0988141,-0.041175906,0.6748466,-0.5227597,0.0,0.4156619,0.9874961,-0.38189146,0.63882035,0.85459214,0.042934496,0.86615294,0.8325442,-0.16700603,0.6741828,0.5617364,-0.04425624,0.98440695,0.92364067,-0.44162935,-0.8187656,-0.9945773,-1.2390387,1.0770212,0.67447484,-0.27823994,0.662587,-0.7207952,0.48895204,0.49165684,0.32374725,0.36177996,-0.09471821,0.3616131,0.99053067,-0.21873331,-0.13998081,0.76232755,0.40331507,0.7396536,-0.60378987,-0.5076709,0.18860981,-0.50074226,0.0067658746,-0.19418229,0.10065625,0.50028396,-0.50028396,0.0,-0.14229763,0.4930662,1.0554464,-0.46473578,-0.43947226,0.9674843,-1.1447749,0.9468118
-0.41716808,1.5190039,0.9474758,1.9358373,1.0770323,1.965163,0.39740637,1.2600938,0.9972746,0.75197,-0.0447092,0.16485377,-0.6037497,-0.7903842,-1.1975337,1.2005327,-0.09915391,-0.30488047,0.5796767,-0.3757681,-0.3172174,-1.1006339,2.3557286,0.4799741,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,0.24381657,0.3884339,-0.6149595,-0.6743089,0.6491849,-0.49751747,0.0,-0.928462,1.096237,1.0779469,1.3142941,1.1683002,-1.4658741,1.0002861,1.2178646,0.70927525,-1.5116215,0.5617364,-0.04425624,-1.1438164,0.38733017,-0.44162935,0.8434168,0.8635536,0.9408359,-0.6652356,0.67447484,0.74863887,-0.050275616,-0.5129388,0.4639671,0.4658405,0.14621393,0.36177996,-0.09471821,-0.8707532,0.02051655,-0.21873331,-0.13998081,0.5382156,0.40331507,0.6548302,2.2429364,-0.5076709,1.5326571,-0.50074226,2.780668,-0.19418229,1.3763459,0.50028396,-0.50028396,0.0,-0.15449592,-1.108578,-0.2794159,-0.8183809,0.3602358,-0.546442,0.70043015,-0.75621325
-1.2098876,0.098578796,0.0029338032,-0.05638334,-0.14013365,-0.19514093,-0.12434955,-0.15163553,-0.18167935,-0.18807505,-0.03707118,0.107170835,-0.15385044,-0.07405634,-0.010311778,-0.15952104,-0.09915391,,,,,-0.21557544,-0.1676753,-2.0834458,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,1.1232849,-0.10851209,-1.4339842,-0.82843184,-2.7553477,2.5985034,0.0,-0.928462,-1.3066617,1.4028639,-1.1074911,-1.6751466,-1.4658741,-1.7811581,-1.6243243,-0.45615202,-0.0656878,0.5617364,-0.04425624,-0.99168223,-1.4206396,-0.44162935,1.0527512,0.9210193,0.19585374,-0.6701052,0.67447484,0.6967943,0.13085948,0.71204823,0.6434828,0.64920974,1.8285469,0.36177996,-0.34087193,-0.7249874,-1.101957,-0.21873331,-0.13998081,-0.6249097,0.40331507,-1.4327763,-1.1737875,2.4917734,-1.3474443,-0.50074226,-0.7672969,-0.19418229,-1.4520271,-2.557972,2.557972,0.0,-0.15051433,0.7922288,-0.18781216,1.7681711,0.98447585,0.45049256,-0.67428553,0.06847217
0.77191126,1.0674897,0.14100948,0.14413202,-1.3967131,1.0281702,-1.0240076,-0.5687096,0.74103796,-2.9001741,-0.051254842,-0.80140895,-0.8397192,2.276809,-0.49346715,0.41552556,-0.09915391,0.28982988,-0.9008063,-0.3757681,-0.3172174,-0.6134724,0.91703665,0.4799741,-0.60710824,-0.8449741,-0.5645624,-0.6698959,-0.655274,-0.8578595,-0.15570952,-0.96174145,-0.8709552,-0.93577355,-0.9060605,-0.940767,-0.06842766,-0.092335284,-0.005196807,-0.07715411,0.12852187,0.11415701,-0.031027863,-0.026661154,-0.05012119,-0.022514336,,,,,,0.024789767,-0.042282887,-0.066280745,0.033890195,-0.22243457,-0.3354029,-0.3094582,0.5751728,0.365833,0.6748466,-0.51960593,0.0,0.20248474,0.2305932,-0.9113004,1.9792302,1.441479,0.042934496,1.0827578,1.5633438,-1.7551622,-0.25676557,0.5617364,-0.04425624,-0.7317977,0.38733017,-0.44162935,-0.1594293,-0.09204167,-0.5147711,1.1515849,0.67447484,0.80068034,-0.8145157,-0.7207952,-2.1307487,-2.1151054,-1.1951488,0.36177996,1.6032428,1.6416838,-1.101957,-0.21873331,-0.13998081,0.76232755,0.40331507,-1.4353683,0.31458712,-0.31484947,-1.3474443,-0.50074226,-0.7672969,-0.19418229,-0.40988123,0.50028396,-0.50028396,0.0,-0.16160223,-0.9780391,0.8527755,-0.17601669,-1.1903223,1.029029,-0.10141156,-1.2906836
