city,block_label,block_size,cell_x,cell_y,tile_count
Amsterdam,0,2400.0,226,2861,3840
Amsterdam,1,2400.0,227,2861,1408
Amsterdam,2,2400.0,226,2860,1080
Amsterdam,3,2400.0,227,2860,396
Athens,4,2400.0,1100,1907,3795
Athens,5,2400.0,1099,1907,1863
Athens,6,2400.0,1100,1906,715
Athens,7,2400.0,1099,1906,351
Barcelona,8,2400.0,101,2112,4161
Barcelona,9,2400.0,101,2111,1825
Barcelona,10,2400.0,100,2112,513
Barcelona,11,2400.0,100,2111,225
Berlin,12,2400.0,621,2872,4400
Berlin,13,2400.0,620,2872,2160
Berlin,14,2400.0,621,2871,55
Berlin,15,2400.0,621,2873,55
Berlin,16,2400.0,620,2871,27
Berlin,17,2400.0,620,2873,27
Madrid,18,2400.0,-173,2053,2928
Madrid,19,2400.0,-173,2052,2074
Madrid,20,2400.0,-174,2053,1008
Madrid,21,2400.0,-174,2052,714
Paris,22,2400.0,109,2604,6006
Paris,23,2400.0,110,2604,390
Paris,24,2400.0,109,2603,308
Paris,25,2400.0,110,2603,20
