feature_a,feature_b,abs_corr
bld_building_coverage_ratio_scaled,gee_roof_fraction_scaled,1.0
bld_building_coverage_ratio_scaled,bld_plan_porosity_scaled,1.0
vox_canopy_height_mean_scaled,vox_canopy_thickness_mean_scaled,1.0
vox_building_volume_sum_scaled,vox_thermal_mass_index_scaled,1.0
vox_canopy_height_mean_scaled,vox_canopy_base_mean_scaled,1.0
vox_svf_scaled,vox_solar_diffuse_scaled,1.0
vox_building_height_mean_scaled,vox_building_height_min_scaled,1.0
urb_node_count_scaled,urb_intersection_density_scaled,1.0
vox_solar_daily_summer_scaled,vox_solar_availability_scaled,1.0
ss_sky_mean_scaled,ss_sky_view_index_mean_scaled,1.0
ss_vegetation_mean_scaled,ss_green_view_index_mean_scaled,1.0
bld_plan_porosity_scaled,gee_roof_fraction_scaled,1.0
vox_solar_availability_scaled,vox_solar_annual_kwh_scaled,1.0
vox_solar_daily_summer_scaled,vox_solar_annual_kwh_scaled,1.0
vox_canopy_base_mean_scaled,vox_canopy_thickness_mean_scaled,1.0
bld_bvd_scaled,derived_building_volume_density_scaled,1.0
gee_albedo_scaled,gee_urban_radiative_index_scaled,1.0
urb_population_popsum_density_scaled,urb_population_youth_density_scaled,0.999
gee_urban_radiative_index_scaled,derived_radiative_vpd_interaction_scaled,0.999
gee_albedo_scaled,derived_radiative_vpd_interaction_scaled,0.999
urb_population_elderly_density_scaled,urb_population_youth_density_scaled,0.998
bld_far_scaled,bld_bvd_scaled,0.998
bld_far_scaled,derived_building_volume_density_scaled,0.998
urb_population_popsum_density_scaled,urb_population_elderly_density_scaled,0.997
gee_impervious_fraction_scaled,derived_impervious_heat_potential_scaled,0.996
bld_total_footprint_area_scaled,bld_building_coverage_ratio_scaled,0.994
bld_total_footprint_area_scaled,gee_roof_fraction_scaled,0.994
bld_total_footprint_area_scaled,bld_plan_porosity_scaled,0.994
gee_era5_relative_humidity_mean_scaled,gee_era5_vpd_mean_scaled,0.993
gee_builtup_fraction_remote_scaled,gee_impervious_fraction_scaled,0.99
gee_ndbi_scaled,gee_roof_albedo_proxy_scaled,0.986
gee_builtup_fraction_remote_scaled,derived_impervious_heat_potential_scaled,0.986
gee_vegetation_fraction_300m_scaled,gee_vegetation_fraction_neighbor_mean_150m_scaled,0.984
gee_impervious_fraction_300m_scaled,gee_impervious_fraction_neighbor_mean_150m_scaled,0.984
gee_vegetation_fraction_scaled,gee_dense_vegetation_proximity_scaled,0.976
gee_impervious_fraction_150m_scaled,derived_impervious_canopy_balance_scaled,0.975
gee_tree_canopy_fraction_300m_scaled,gee_tree_canopy_cover_neighbor_mean_150m_scaled,0.974
gee_era5_wind_speed_mean_scaled,gee_era5_wind_speed_p95_scaled,0.972
gee_ndbi_scaled,gee_bare_soil_index_scaled,0.966
gee_bare_soil_index_scaled,gee_roof_albedo_proxy_scaled,0.965
gee_canopy_height_mean_scaled,gee_tree_canopy_cover_scaled,0.964
gee_evi_scaled,gee_ndvi_scaled,0.964
gee_tree_canopy_distance_scaled,gee_tree_canopy_proximity_scaled,0.963
gee_vegetation_fraction_scaled,derived_green_cooling_potential_scaled,0.96
gee_vegetation_fraction_300m_scaled,derived_vegetation_cooling_saturation_scaled,0.959
gee_impervious_fraction_90m_scaled,gee_impervious_fraction_150m_scaled,0.954
urb_has_network_data_scaled,derived_street_centrality_proxy_scaled,0.952
ss_lively_mean_scaled,ss_has_streetscape_data_scaled,0.948
gee_era5_relative_humidity_mean_scaled,gee_modis_pet_mean_scaled,0.948
gee_vegetation_fraction_90m_scaled,gee_vegetation_fraction_150m_scaled,0.947
derived_vegetation_cooling_saturation_scaled,gee_vegetation_fraction_neighbor_mean_150m_scaled,0.943
gee_era5_vpd_mean_scaled,gee_modis_pet_mean_scaled,0.941
gee_dense_vegetation_proximity_scaled,derived_green_cooling_potential_scaled,0.936
gee_impervious_fraction_90m_scaled,derived_impervious_canopy_balance_scaled,0.93
vox_urban_heat_island_scaled,vox_building_solar_exposure_scaled,0.924
ss_wealthy_mean_scaled,ss_lively_mean_scaled,0.924
gee_evi_scaled,gee_emissivity_mean_scaled,0.924
bld_aspect_ratio_weighted_scaled,bld_surface_to_volume_ratio_scaled,0.923
ss_wealthy_mean_scaled,ss_has_streetscape_data_scaled,0.923
bld_total_wall_surface_area_scaled,bld_frontal_area_index_scaled,0.921
gee_vegetation_fraction_300m_scaled,gee_vegetation_fraction_neighbor_mean_300m_scaled,0.92
gee_impervious_fraction_scaled,gee_impervious_fraction_90m_scaled,0.92
