Feature,r(UHI)
gee_impervious_fraction_300m,0.579
gee_impervious_fraction_neighbor_mean_300m,0.542
derived_urban_heat_trap_index,0.461
gee_builtup_fraction_remote,0.457
gee_ndbi,0.45
gee_albedo,0.435
gee_water_fraction,-0.421
gee_emissivity_std,-0.419
gee_distance_to_water,0.389
gee_distance_to_coast,0.337
bld_has_buildings,0.322
derived_ventilation_proxy_neighbor_mean_150m,-0.321
derived_canyon_sky_openness,-0.303
gee_tree_canopy_fraction_300m,-0.301
gee_mndwi,-0.299
vox_landcover_vegetation_ratio,-0.292
gee_tree_canopy_cover_neighbor_mean_300m,-0.279
gee_tree_canopy_fraction_150m,-0.275
gee_relative_elevation,0.273
bld_building_count,0.253
