imp_delta,alb_delta,veg_delta,tree_delta,mean_cooling,median_cooling,max_cooling,pct_1deg,pct_05deg,n_extremes
-0.3,0.0,0.1,0.15,-1.119529929883616,-1.101884013501862,-3.821429408345775,56.615425042701354,81.69754302982525,7566
-0.3,0.0,0.1,0.2,-1.1274988165077784,-1.1043231756128433,-3.855575121198253,56.6918280275681,81.58844765342961,7553
-0.3,0.0,0.1,0.25,-1.130558725931696,-1.104157556358837,-3.9334519870620532,56.65616384403308,81.58067480635421,7554
-0.3,0.0,0.1,0.30000000000000004,-1.1304039551955343,-1.1041589920817827,-3.903468406949596,56.684386690293366,81.56461245652031,7551
-0.3,0.0,0.1,0.3500000000000001,-1.1305044840495548,-1.1043804157168946,-3.9061679013114734,56.71916010498688,81.56824146981627,7548
-0.3,0.0,0.1,0.4000000000000001,-1.132695612321761,-1.1043231756128433,-3.9379411704879566,56.71543861951316,81.58913457122236,7547
-0.3,0.0,0.1,0.45000000000000007,-1.133103528694912,-1.1047791440780823,-3.9199614889961047,56.72199986877502,81.58913457122236,7547
-0.3,0.0,0.1,0.5000000000000001,-1.1339396533597383,-1.1047791440780823,-4.010817087445812,56.71543861951316,81.58257332196051,7547
-0.3,0.0,0.15000000000000002,0.15,-1.1302506030183401,-1.1090383888239113,-3.8323883183341785,57.171026685947155,82.15459445247798,7574
-0.3,0.0,0.15000000000000002,0.2,-1.138787002697891,-1.1135488112841518,-3.8770857025058136,57.264844981607986,82.13347346295323,7564
-0.3,0.0,0.15000000000000002,0.25,-1.1419045036962943,-1.114102148442136,-3.9444109566551013,57.256422048485646,82.14309178109191,7567
-0.3,0.0,0.15000000000000002,0.30000000000000004,-1.1414171231909866,-1.114065396294994,-3.9144273169379993,57.22729362316937,82.11729165298482,7561
-0.3,0.0,0.15000000000000002,0.3500000000000001,-1.1418931127631118,-1.1141335942935942,-3.9171268112998767,57.27983187758586,82.15012806199515,7561
-0.3,0.0,0.15000000000000002,0.4000000000000001,-1.1441633521843753,-1.1141178713678652,-3.94890008047636,57.28263724717625,82.15130023640663,7560
-0.3,0.0,0.15000000000000002,0.45000000000000007,-1.1446241855275034,-1.1148139612442642,-3.930920398984508,57.29577094825322,82.15130023640663,7560
-0.3,0.0,0.15000000000000002,0.5000000000000001,-1.1454616748386202,-1.1147463296445244,-4.021776176248149,57.29577094825322,82.15130023640663,7560
-0.3,0.0,0.20000000000000004,0.15,-1.1406197836770182,-1.1159450210272237,-3.8323883183341785,57.63514402209654,82.57266868341443,7582
-0.3,0.0,0.20000000000000004,0.2,-1.1494813911665251,-1.121101243738874,-3.891154186812149,57.7474043895387,82.52727033775791,7570
-0.3,0.0,0.20000000000000004,0.25,-1.1524308698423726,-1.1222079130871734,-3.9485644688937436,57.752218205718044,82.49753532697996,7573
-0.3,0.0,0.20000000000000004,0.30000000000000004,-1.1522830376218416,-1.1221937043149761,-3.9150930633876095,57.7408332238139,82.49441450913392,7570
-0.3,0.0,0.20000000000000004,0.3500000000000001,-1.1525835326528855,-1.1222976598745538,-3.9171268112998767,57.779237844940866,82.50328515111696,7568
-0.3,0.0,0.20000000000000004,0.4000000000000001,-1.1550229757074517,-1.1224877771044026,-3.9771352997157345,57.779237844940866,82.49671484888304,7568
-0.3,0.0,0.20000000000000004,0.45000000000000007,-1.1555639020173392,-1.1232376668091737,-3.930920398984508,57.79894875164258,82.49671484888304,7568
-0.3,0.0,0.20000000000000004,0.5000000000000001,-1.1564019558606125,-1.1231559147477994,-4.021776176248149,57.80551905387647,82.49671484888304,7568
-0.3,0.0,0.25000000000000006,0.15,-1.149350891500072,-1.122603174539413,-3.9150468476157947,57.98054167762293,82.8753615566658,7576
-0.3,0.0,0.25000000000000006,0.2,-1.159372285367412,-1.1271076468084726,-3.9159335263114734,58.20140576758852,82.84832161860342,7565
-0.3,0.0,0.25000000000000006,0.25,-1.161894781565378,-1.1273280730533455,-3.993810272965984,58.19865983445014,82.84062541058994,7566
-0.3,0.0,0.25000000000000006,0.30000000000000004,-1.1616432924736548,-1.1273475307277026,-3.9638266928535266,58.176802837252076,82.81886247208722,7562
-0.3,0.0,0.25000000000000006,0.3500000000000001,-1.161991417858763,-1.127613789460697,-3.966526187215404,58.22169687417914,82.82768584187023,7560
-0.3,0.0,0.25000000000000006,0.4000000000000001,-1.164507016317603,-1.1280016687355436,-4.019574760470129,58.21513002364066,82.82111899133176,7560
-0.3,0.0,0.25000000000000006,0.45000000000000007,-1.1651426207032114,-1.128476734563387,-3.9894925721030994,58.22826372471762,82.82111899133176,7560
-0.3,0.0,0.25000000000000006,0.5000000000000001,-1.165980743713656,-1.128390878521684,-4.0803484089713855,58.22826372471762,82.82111899133176,7560
-0.3,0.0,0.30000000000000004,0.15,-1.1580455871550506,-1.1302552823802285,-3.944180130038,58.2757940422174,82.9683698296837,7581
-0.3,0.0,0.30000000000000004,0.2,-1.1677792026850256,-1.1342550434914984,-3.9701804509494076,58.5518102372035,82.92266246139694,7569
-0.3,0.0,0.30000000000000004,0.25,-1.170048225916932,-1.1345877706519523,-4.065158008608557,58.52937311078985,82.9281114469707,7570
-0.3,0.0,0.30000000000000004,0.30000000000000004,-1.1697880803565746,-1.1346619839955725,-4.0316866627070675,58.49428458809618,82.90631980028905,7566
-0.3,0.0,0.30000000000000004,0.3500000000000001,-1.1701716112282294,-1.1347463448679764,-4.026415585551001,58.55885444035734,82.90199684708355,7564
-0.3,0.0,0.30000000000000004,0.4000000000000001,-1.172760753684522,-1.135049840209326,-4.093729077849127,58.55885444035734,82.91513399894903,7564
-0.3,0.0,0.30000000000000004,0.45000000000000007,-1.1735178827964468,-1.1354633204674278,-4.016506469998912,58.58512874408828,82.91513399894903,7564
-0.3,0.0,0.30000000000000004,0.5000000000000001,-1.1743577964127296,-1.135238490729853,-4.1073623068671985,58.58512874408828,82.91513399894903,7564
-0.3,0.0,0.3500000000000001,0.15,-1.1657469115946957,-1.135842116298361,-4.050101875338293,58.53931107020773,82.96739416250328,7576
-0.3,0.0,0.3500000000000001,0.2,-1.175576324858204,-1.1422414135663246,-4.0761024942729245,58.783339902772305,82.96544475101825,7566
-0.3,0.0,0.3500000000000001,0.25,-1.177604174396817,-1.1423640141102664,-4.104007511410452,58.787201892122724,82.95118586163852,7567
-0.3,0.0,0.3500000000000001,0.30000000000000004,-1.1774075397633004,-1.142609584225267,-4.071218489680029,58.76904887020494,82.93483972674724,7564
-0.3,0.0,0.3500000000000001,0.3500000000000001,-1.1778012488785186,-1.1428207255361733,-4.065947472128607,58.827006436358865,82.93708130828846,7562
-0.3,0.0,0.3500000000000001,0.4000000000000001,-1.1804802245590629,-1.1429236797987632,-4.149680553946234,58.827006436358865,82.93051359516616,7562
-0.3,0.0,0.3500000000000001,0.45000000000000007,-1.18136314419877,-1.1435497121005493,-4.08257615474198,58.84670957572573,82.93708130828846,7562
-0.3,0.0,0.3500000000000001,0.5000000000000001,-1.182208031002687,-1.1436614686681925,-4.153522013697363,58.84670957572573,82.93708130828846,7562
-0.3,0.0,0.40000000000000013,0.15,-1.1733426415447727,-1.1417933687690642,-4.065306304964758,58.866833179965816,82.96963323254897,7574
